DisplayName, Description, Nickname, RoleDefinitionId
CSGA-PRD-IAM-PIM-Application_Administrator, CSGA-PRD-IAM-PIM-Application_Administrator, CSGA-PRD-IAM-PIM-Application_Administrator, 9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3
CSGA-PRD-IAM-PIM-Application_Developer, CSGA-PRD-IAM-PIM-Application_Developer, CSGA-PRD-IAM-PIM-Application_Developer, cf1c38e5-3621-4004-a7cb-879624dced7c
CSGA-PRD-IAM-PIM-Attack_Payload_Author, CSGA-PRD-IAM-PIM-Attack_Payload_Author, CSGA-PRD-IAM-PIM-Attack_Payload_Author, 9c6df0f2-1e7c-4dc3-b195-66dfbd24aa8f
CSGA-PRD-IAM-PIM-Attack_Simulation_Administrator, CSGA-PRD-IAM-PIM-Attack_Simulation_Administrator, CSGA-PRD-IAM-PIM-Attack_Simulation_Administrator, c430b396-e693-46cc-96f3-db01bf8bb62a
CSGA-PRD-IAM-PIM-Attribute_Assignment_Administrator, CSGA-PRD-IAM-PIM-Attribute_Assignment_Administrator, CSGA-PRD-IAM-PIM-Attribute_Assignment_Administrator, 58a13ea3-c632-46ae-9ee0-9c0d43cd7f3d
CSGA-PRD-IAM-PIM-Attribute_Assignment_Reader, CSGA-PRD-IAM-PIM-Attribute_Assignment_Reader, CSGA-PRD-IAM-PIM-Attribute_Assignment_Reader, ffd52fa5-98dc-465c-991d-fc073eb59f8f
CSGA-PRD-IAM-PIM-Attribute_Definition_Administrator, CSGA-PRD-IAM-PIM-Attribute_Definition_Administrator, CSGA-PRD-IAM-PIM-Attribute_Definition_Administrator, 8424c6f0-a189-499e-bbd0-26c1753c96d4
CSGA-PRD-IAM-PIM-Attribute_Definition_Reader, CSGA-PRD-IAM-PIM-Attribute_Definition_Reader, CSGA-PRD-IAM-PIM-Attribute_Definition_Reader, 1d336d2c-4ae8-42ef-9711-b3604ce3fc2c
CSGA-PRD-IAM-PIM-Attribute_Log_Administrator,  CSGA-PRD-IAM-PIM-Attribute_Log_Administrator, CSGA-PRD-IAM-PIM-Attribute_Log_Administrator, 5b784334-f94b-471a-a387-e7219fc49ca2
CSGA-PRD-IAM-PIM-Attribute_Log_Reader, CSGA-PRD-IAM-PIM-Attribute_Log_Reader, CSGA-PRD-IAM-PIM-Attribute_Log_Reader, 9c99539d-8186-4804-835f-fd51ef9e2dcd
