EntraIDRole,ImpactLevel,MaximumActivationDurationHours,RequireMFAOnActivation,RequireJustificationOnActivation,AllowPermanentEligibleAssignment,AllowPermanentActiveAssignment,RoleDescription
Agent ID Administrator,High,4,True,True,True,False,Manage all aspects of agents in a tenant including identity lifecycle operations for agent blueprints agent service principals agent identities and agentic users.
Agent ID Developer,Medium,4,True,True,True,False,Create an agent blueprint and its service principal in a tenant. User will be added as an owner of the agent blueprint and its service principal.
Agent Registry Administrator,Medium,6,True,True,True,False,Manage all aspects of the Agent Registry service in Microsoft Entra ID.
AI Administrator,High,4,True,True,True,True,Manage all aspects of Microsoft 365 Copilot and AI-related enterprise services in Microsoft 365.
Application Administrator,High,4,True,True,True,True,Can create and manage all aspects of app registrations and enterprise apps.
Application Developer,High,4,True,True,True,False,Can create application registrations independent of the 'Users can register applications' setting.
Attack Payload Author,Low,8,False,False,True,True,Can create attack payloads that an administrator can initiate later.
Attack Simulation Administrator,Low,8,False,False,True,True,Can create and manage all aspects of attack simulation campaigns.
Attribute Assignment Administrator,Low,8,False,False,True,True,Assign custom security attribute keys and values to supported Azure AD objects.
Attribute Assignment Reader,Low,8,False,False,True,True,Read custom security attribute keys and values for supported Azure AD objects.
Attribute Definition Administrator,Medium,6,True,True,True,False,Define and manage the definition of custom security attributes.
Attribute Definition Reader,Low,8,False,False,True,True,Read the definition of custom security attributes.
Attribute Log Administrator,Medium,6,True,True,True,False,Assign the Attribute Log Reader role to users who need to do the following tasks:
Attribute Log Reader,Low,8,False,False,True,True,Read audit logs related to custom security attributes.
Attribute Provisioning Administrator,High,4,True,True,True,False,Read and edit the provisioning configuration of all active custom security attributes for an application.
Attribute Provisioning Reader,High,4,True,True,True,False,Read the provisioning configuration of all active custom security attributes for an application.
Authentication Administrator,High,2,True,True,True,False,"Allowed to view, set and reset authentication method information for any non-admin user."
Authentication Extensibility Administrator,High,2,True,True,True,False,Customize sign in and sign up experiences for users by creating and managing custom authentication extensions.
Authentication Policy Administrator,High,2,True,True,True,False,"Can create and manage the authentication methods policy, tenant-wide MFA settings, password protection policy, and verifiable credentials."
Azure DevOps Administrator,High,4,True,True,True,True,Can manage Azure DevOps organization policy and settings.
Azure Information Protection Administrator,High,4,True,True,True,False,Can manage all aspects of the Azure Information Protection product.
B2C IEF Keyset Administrator,High,2,True,True,True,False,Can manage secrets for federation and encryption in the Identity Experience Framework (IEF).
B2C IEF Policy Administrator,Medium,6,True,True,True,False,Can create and manage trust framework policies in the Identity Experience Framework (IEF).
Billing Administrator,Low,8,False,False,True,True,Can perform common billing related tasks like updating payment information.
Cloud App Security Administrator,Medium,6,True,True,True,False,Can manage all aspects of the Cloud App Security product.
Cloud Application Administrator,High,4,True,True,True,False,Can create and manage all aspects of app registrations and enterprise apps except App Proxy.
Cloud Device Administrator,High,4,True,True,True,False,Full access to manage devices in Azure AD.
Compliance Administrator,High,4,True,True,True,False,Can read and manage compliance configuration and reports in Azure AD and Microsoft 365.
Compliance Data Administrator,High,4,True,True,True,False,Creates and manages compliance content.
Conditional Access Administrator,High,2,True,True,True,False,Can manage Conditional Access capabilities.
Customer LockBox Access Approver,Low,8,False,False,True,True,Can approve Microsoft support requests to access customer organizational data.
Desktop Analytics Administrator,Low,8,False,False,True,True,Can access and manage Desktop management tools and services.
Directory Readers,Medium,8,False,True,True,True,"Users in this role can read basic directory information. This role should be used for: 1) Granting a specific set of guest users read access instead of granting it to all guest users. 2) Granting a specific set of non-admin users access to Azure Portal when ""Restrict access to Microsoft Entra portal to admins only"" is set to ""Yes"". 3) Granting service principals access to directory where Directory.Read.All is not an option."
